O,0001,5000,Hammer,18,16.75,301.5
O,0001,5001,Screws,16,64.00,1024
O,0001,5002,Nailsx50,20,18.51,370.2
P,0001,5003,2500,,,
O,0001,5004,Stud 2x4x8,14,4.00,56
O,0001,5005,Stud 2x3x8,21,3.00,63
O,0001,5006,Stud 2x6x8,7,7.00,49
P,0001,5007,2300,,,
O,0001,5008,Oak Plywood 4x8 ,18,55.00,990
O,0001,5009,Drywall STD 4x8,4,23.25,93
O,0002,5010,Dewalt Drill D24-25,1,125.00,125
P,0002,5011,5800,,,
O,0002,5012,Deck Screws x100,21,50.00,1050
O,0002,5013,Stud 4x4x8 PT,7,14.00,98
O,0002,5014,Hammer,4,16.75,67
P,0002,5015,611,,,
O,0002,5016,Nailsx50,13,18.51,240.63
O,0002,5017,nailsX100,19,30.99,588.81
O,0002,5018,Stud 2x4x8,13,4.00,52
P,0002,5019,682,,,
O,0003,5020,Stud 2x6x8,13,7.00,91
O,0003,5021,OSB Plywood 4x8,1,55.00,55
O,0003,5022,Oak Plywood 4x8 ,13,55.00,715
P,0003,5023,1005,,,
O,0003,5024,Dewalt Drill D24-25,17,125.00,2125
O,0003,5025,Custom Paint,29,45.00,1305
O,0003,5026,Deck Screws x100,24,50.00,1200
P,0003,5027,4743.69,,,
O,0003,5028,Hammer,1,16.75,16.75
O,0003,5029,Screws,9,64.00,576
O,0004,5030,Nailsx50,23,18.51,425.73
P,0004,5031,160,,,
O,0004,5032,Stud 2x4x8,16,4.00,64
O,0004,5033,Stud 2x3x8,18,3.00,54
O,0004,5034,Stud 2x6x8,22,7.00,154
P,0004,5035,8506.71,,,
O,0004,5036,Oak Plywood 4x8 ,2,55.00,110
O,0004,5037,Drywall STD 4x8,29,23.25,674.25
O,0004,5038,Dewalt Drill D24-25,7,125.00,875
P,0004,5039,1800,,,
O,0005,5040,Deck Screws x100,17,50.00,850
O,0005,5041,Stud 4x4x8 PT,17,14.00,238
O,0005,5042,Hammer,10,16.75,167.5
P,0005,5043,5000,,,
O,0005,5044,Nailsx50,26,18.51,481.26
O,0005,5045,nailsX100,21,30.99,650.79
O,0005,5046,Stud 2x4x8,18,4.00,72
P,0005,5047,200,,,
O,0005,5048,Deck Screws x100,20,50.00,1000
O,0005,5049,Stud 4x4x8 PT,12,14.00,168
O,0006,5050,Hammer,2,16.75,33.5
P,0006,5051,12000,,,
O,0006,5052,Nailsx50,30,18.51,555.3
O,0006,5053,nailsX100,26,30.99,805.74
O,0006,5054,Stud 2x4x8,22,4.00,88
P,0006,5055,500,,,
O,0006,5056,Stud 2x6x8,22,7.00,154
O,0006,5057,OSB Plywood 4x8,18,55.00,990
O,0006,5058,Oak Plywood 4x8 ,29,55.00,1595
P,0006,5059,603,,,
O,0007,5060,Dewalt Drill D24-25,27,125.00,3375
O,0007,5061,Custom Paint,17,45.00,765
O,0007,5062,Deck Screws x100,8,50.00,400
P,0007,5063,78,,,
O,0007,5064,Hammer,3,16.75,50.25
O,0007,5065,Screws,28,64.00,1792
O,0007,5066,Nailsx50,8,18.51,148.08
P,0007,5067,10450,,,
O,0007,5068,Stud 2x4x8,7,4.00,28
O,0007,5069,Stud 2x3x8,30,3.00,90
O,0008,5070,Stud 2x6x8,22,7.00,154
P,0008,5071,13,,,
O,0008,5072,Oak Plywood 4x8 ,12,55.00,660
O,0008,5073,Drywall STD 4x8,4,23.25,93
O,0008,5074,Dewalt Drill D24-25,13,125.00,1625
P,0008,5075,9180,,,
O,0008,5076,Deck Screws x100,11,50.00,550
O,0008,5077,Stud 4x4x8 PT,20,14.00,280
O,0008,5078,Hammer,26,16.75,435.5
P,0008,5079,1200,,,
O,0009,5080,Dewalt Drill D24-25,5,125.00,625
O,0009,5081,Custom Paint,4,45.00,180
O,0009,5082,Deck Screws x100,11,50.00,550
P,0009,5083,400,,,
O,0009,5084,Hammer,6,16.75,100.5
O,0009,5085,Screws,19,64.00,1216
O,0009,5086,Nailsx50,27,18.51,499.77
P,0009,5087,3500,,,
O,0009,5088,Stud 2x4x8,13,4.00,52
O,0009,5089,Stud 2x3x8,3,3.00,9
O,0010,5090,Stud 2x6x8,12,7.00,84
P,0010,5091,1000.6,,,
O,0010,5092,Oak Plywood 4x8 ,28,55.00,1540
O,0010,5093,Drywall STD 4x8,3,23.25,69.75
O,0010,5094,Dewalt Drill D24-25,15,125.00,1875
P,0010,5095,4500.1,,,
O,0010,5096,Deck Screws x100,22,50.00,1100
O,0010,5097,Stud 4x4x8 PT,24,14.00,336
O,0010,5098,Hammer,13,16.75,217.75
P,0010,5099,13,,,
